symbol	ncbi_gene_id
Jarid1c	20591
Jarid1d	20592
Ncor2	20602
Snai1	20613
Sox1	20664
Sox11	20666
Sox12	20667
Sox13	20668
Sox15	20670
Sox17	20671
Sox18	20672
Sox2	20674
Sox3	20675
Sox4	20677
Sox5	20678
Sox6	20679
Sox7	20680
Sox8	20681
Sox9	20682
Sp1	20683
Sp100	20684
Sp3	20687
Sp4	20688
Sall3	20689
Spic	20728
Spop	20747
Srebf1	20787
Srebf2	20788
Srf	20807
Trim21	20821
Znrf4	20834
Zfp143	20841
Stat1	20846
Stat2	20847
Stat3	20848
Stat4	20849
Stat5a	20850
Stat5b	20851
Stat6	20852
Bhlhb2	20893
T	20997
Tal1	21349
Tal2	21350
Tbl1x	21372
Tbr1	21375
Tbx1	21380
Tbx15	21384
Tbx2	21385
Tbx3	21386
Tbx4	21387
Tbx5	21388
Tbx6	21389
Hnf1a	21405
Tcf12	21406
Tcf15	21407
Zfp354a	21408
Hnf1b	21410
Tcf20	21411
Tcf21	21412
Tcf4	21413
Tcf7	21414
Tcf3	21415
Tcf7l2	21416
Zeb1	21417
Tcfap2a	21418
Tcfap2b	21419
Tcfap2c	21420
Tcfcp2	21422
Tcfe2a	21423
Tcfeb	21425
Tcfec	21426
Mlx	21428
Ubtf	21429
Phf1	21652
Sry	21674
Tead1	21676
Tead2	21677
Tead3	21678
Tead4	21679
Tef	21685
Tfam	21780
Tfdp1	21781
Tgfb1	21803
Tgfb1i1	21804
Tsc22d1	21807
Tgif1	21815
Thra	21833
Thrb	21834
Thrsp	21835
Klf10	21847
Trim24	21848
Trim28	21849
Timeless	21853
Nkx21	21869
Tle1	21885
Tle2	21886
Tle3	21887
Tle4	21888
Nr2e1	21907
Tlx1	21908
Tlx2	21909
Dedd	21945
Nr2c1	22025
Nr2c2	22026
Traf2	22030
Traf3	22031
Traf4	22032
Traf5	22033
Traf6	22034
Traip	22036
Trp53	22059
Trp63	22061
Trp73	22062
Twist1	22160
Ube3a	22215
Ubp1	22221
Uncx	22255
Nr1h3	22259
Nr1h2	22260
Usf1	22278
Usf2	22282
Utf1	22286
Utx	22289
Uty	22290
Uxt	22294
Vax1	22326
Vdr	22337
Wbp4	22380
Baz1b	22385
Zmat3	22401
Wiz	22404
Wt1	22431
Xbp1	22433
Yap1	22601
Ybx1	22608
Yy1	22632
Zfa	22639
Zfp1	22640
Zbtb17	22642
Zfp101	22643
Rnf103	22644
Zfp105	22646
Zfp11	22648
Mkrn3	22652
Zfp13	22654
Pcgf2	22658
Zfp148	22661
Zfp161	22666
Sf1	22668
Trim26	22670
Zfp179	22671
Zfp185	22673
Zfp2	22678
Zfp207	22680
Zfp239	22685
Zfp259	22687
Zfp27	22689
Zfp28	22690
Zscan2	22691
