species	MGI	UniProtKB	gene	ID
MOUSE	2442479	Q8C8T7	Protein ELFN1	Elfn1
MOUSE	2660628	P59511	A disintegrin and metalloproteinase with thrombospondin motifs 20	Adamts20
MOUSE	1914123	Q9DBY4	TLR4 interactor with leucine rich repeats	Tril
MOUSE	3046414	Q6HA09	Astacin-like metalloendopeptidase	Astl
MOUSE	88445	Q05306	Collagen alpha-1(X) chain	Col10a1
MOUSE	2442118	E9PVG8	Protein 9530053A07Rik	9530053A07Rik
MOUSE	109321	P97927	Laminin subunit alpha-4	Lama4
MOUSE	1277979	Q3UV74	Integrin beta-2-like protein	Itgb2l
MOUSE	88460	Q02788	Collagen alpha-2(VI) chain	Col6a2
MOUSE	1925507	Q8CDN9	Leucine-rich repeat-containing protein 9	Lrrc9
MOUSE	1916433	Q9D8U4	Complement C1q tumor necrosis factor-related protein 2	C1qtnf2
MOUSE	102889	Q62059	Versican core protein	Vcan
MOUSE	1339364	Q80Z19	Mucin-2 (Fragments)	Muc2
MOUSE	1928765	Q9JJS0	"Signal peptide, CUB and EGF-like domain-containing protein 2"	Scube2
MOUSE	1914916	Q80WM5	Hyaluronan and proteoglycan link protein 3	Hapln3
MOUSE	88450	Q07563	Collagen alpha-1(XVII) chain	Col17a1
MOUSE	1349162	P18828	Syndecan-1	Sdc1
MOUSE	2445095	Q8BMT4	Negative regulator of reactive oxygen species	Nrros
MOUSE	96765	P35951	Low-density lipoprotein receptor	Ldlr
MOUSE	1341292	Q2QI47	Usherin	Ush2A
MOUSE	2389136	Q8K482	EMILIN-2	Emilin2
MOUSE	1298218	O88572	Low-density lipoprotein receptor-related protein 6	Lrp6
MOUSE	99912	Q60675	Laminin subunit alpha-2	Lama2
MOUSE	1336974	Q9WVP1	AP-1 complex subunit mu-2	Ap1m2
MOUSE	2685355	Q3V1H3	Hephaestin-like protein 1	Hephl1
MOUSE	98935	P98156	Very low-density lipoprotein receptor	Vldlr
MOUSE	1918395	Q8K299	Scavenger receptor class A member 5	Scara5
MOUSE	3608416	Q68FM6	Protein phosphatase 1 regulatory subunit 29	Elfn2
MOUSE	2652848	Q8R2R5	Leucine-rich repeat-containing protein 61	Lrrc61
MOUSE	1924989	Q8BLI0	ADAMTS-like protein 1	Adamtsl1
MOUSE	1918556	Q9D3X9	Microfibrillar-associated protein 3-like	Mfap3l
MOUSE	2176887	P58682	Toll-like receptor 8	Tlr8
MOUSE	2444418	Q8C850	Scavenger receptor class A member 3	Scara3
MOUSE	96828	Q91ZX7	Prolow-density lipoprotein receptor-related protein 1	Lrp1
MOUSE	96963	P28825	Meprin A subunit alpha	Mep1a
MOUSE	2685267	J3QNQ8	Protein Lrit3	Lrit3
MOUSE	1347348	D3Z1A5	Protein Adamts6	Adamts6
MOUSE	1888921	Q3V1T4	Prolyl 3-hydroxylase 1	Lepre1
MOUSE	1914782	Q9CQU1	Microfibrillar-associated protein 1	Mfap1
MOUSE	3045213	Q6R5N8	Toll-like receptor 13	Tlr13
MOUSE	1332240	Q9Z0Z4	Hephaestin	Heph
MOUSE	1859553	O88978	Protein tilB homolog	Lrrc6
MOUSE	1096389	Q6P9K9	Neurexin-3	Nrxn3
MOUSE	88451	P39061	Collagen alpha-1(XVIII) chain	Col18a1
MOUSE	98849	P47750	Thyrotropin receptor	Tshr
MOUSE	2685260	Q4ZJM7	Otolin-1	Otol1
MOUSE	96976	P19788	Matrix Gla protein	Mgp
MOUSE	96257	Q05793	Basement membrane-specific heparan sulfate proteoglycan core protein	Hspg2
MOUSE	1921915	Q9D5E4	Leucine-rich repeat-containing protein 48	Lrrc48
MOUSE	88452	P28481	Collagen alpha-1(II) chain	Col2a1
MOUSE	1349163	Q64519	Syndecan-3	Sdc3
MOUSE	2146046	Q811B3	A disintegrin and metalloproteinase with thrombospondin motifs 12	Adamts12
MOUSE	3618288	Q3V0I7	A kinase (PRKA) anchor protein 14	Akap14
MOUSE	88005	P63277	"Amelogenin, X isoform"	Amelx
MOUSE	2679531	Q80WM4	Hyaluronan and proteoglycan link protein 4	Hapln4
MOUSE	1315202	Q9WVB4	Slit homolog 3 protein	Slit3
MOUSE	2180216	Q8R4I7	Neuropilin and tolloid-like protein 1	Neto1
MOUSE	2137300	Q9ESM3	Hyaluronan and proteoglycan link protein 2	Hapln2
MOUSE	1096385	Q61361	Brevican core protein	Bcan
MOUSE	1891221	Q9CYD3	Cartilage-associated protein	Crtap
MOUSE	2151113	Q920A0	Opticin	Optc
MOUSE	2182081	Q99PH1	Leucine-rich repeat-containing protein 4	Lrrc4
MOUSE	2682211	Q6R6I7	Relaxin receptor 1	Rxfp1
MOUSE	2444336	E9Q0B5	Protein Fcgbp	Fcgbp
MOUSE	88465	Q05722	Collagen alpha-1(IX) chain	Col9a1
MOUSE	1278315	Q91VN0	Low-density lipoprotein receptor-related protein 5	Lrp5
MOUSE	2442106	Q8BXQ3	Leucine-rich repeat and transmembrane domain-containing protein 1	Lrtm1
MOUSE	99559	P55002	Microfibrillar-associated protein 2	Mfap2
MOUSE	1202881	P70412	CUB and zona pellucida-like domain-containing protein 1	Cuzd1
MOUSE	1921430	E9Q5I3	Protein Muc5b	Muc5b
MOUSE	1338761	O35348	Acetylcholinesterase collagenic tail peptide	Colq
MOUSE	88156	P86546	Osteocalcin	Bglap
MOUSE	3039578	Q5FW85	Extracellular matrix protein 2	Ecm2
MOUSE	104688	Q9QZS0	Collagen alpha-3(IV) chain	Col4a3
MOUSE	104540	P43025	Tetranectin	Clec3b
MOUSE	1921685	Q14DL3	Leucine-rich repeat and IQ domain-containing protein 3	Lrriq3
MOUSE	94900	Q09163	Protein delta homolog 1	Dlk1
MOUSE	107942	P70186	Epiphycan	Epyc
MOUSE	108110	P70663	SPARC-like protein 1	Sparcl1
MOUSE	96612	O54890	Integrin beta-3	Itgb3
MOUSE	2140219	Q8BZT5	Leucine-rich repeat-containing protein 19	Lrrc19
MOUSE	1913798	D3Z689	"ADAMTS-like 5, isoform CRA_c"	Adamtsl5
MOUSE	1309998	Q60754	Macrophage receptor MARCO	Marco
MOUSE	2674311	Q8CG65	SCO-spondin	Sspo
MOUSE	1858171	Q9JLF7	Toll-like receptor 5	Tlr5
MOUSE	95290	P01132	Pro-epidermal growth factor	Egf
MOUSE	2151110	Q9JK53	Prolargin	Prelp
MOUSE	1918264	Q8BH27	Multiple epidermal growth factor-like domains protein 9	Megf9
MOUSE	3027390	P0C192	Leucine-rich repeat-containing protein 4B	Lrrc4b
MOUSE	88458	Q3U962	Collagen alpha-2(V) chain	Col5a2
MOUSE	1338035	Q0VBD0	Integrin beta	Itgb8
MOUSE	1100492	O35375	Neuropilin-2	Nrp2
MOUSE	109575	O08523	Alpha-tectorin	Tecta
MOUSE	1931256	Q9JLB4	Cubilin	Cubn
MOUSE	96389	Q61711	Bone sialoprotein 2	Ibsp
MOUSE	97342	P10493	Nidogen-1	Nid1
MOUSE	1924068	Q922T2	Microfibril-associated glycoprotein 3	Mfap3
MOUSE	2672118	Q5QNQ9	Collagen alpha-1(XXVII) chain	Col27a1
MOUSE	3028499	G3UXC7	Protein Adamtsl3	Adamtsl3
MOUSE	2443718	Q52KR2	Leucine-rich repeats and immunoglobulin-like domains protein 2	Lrig2
MOUSE	1347346	Q68SA9	A disintegrin and metalloproteinase with thrombospondin motifs 7	Adamts7
MOUSE	2159341	Q8R4F1	Netrin-G2	Ntng2
MOUSE	2147749	Q6A051	Attractin-like protein 1	Atrnl1
MOUSE	1096866	O55226	Chondroadherin	Chad
MOUSE	1341817	Q9Z1P4	Leucine-rich repeat-containing G-protein coupled receptor 5	Lgr5
MOUSE	2674939	Q7TQ62	Podocan	Podn
MOUSE	106923	Q62381	Tolloid-like protein 1	Tll1
MOUSE	1354756	Q9JLL0	Cysteine-rich motor neuron 1 protein	Crim1
MOUSE	99909	Q61789	Laminin subunit alpha-3	Lama3
MOUSE	1353468	P57110	A disintegrin and metalloproteinase with thrombospondin motifs 8	Adamts8
MOUSE	2449112	P58459	A disintegrin and metalloproteinase with thrombospondin motifs 10	Adamts10
MOUSE	2385320	Q8K099	"Leucine-rich repeat, immunoglobulin-like domain and transmembrane domain-containing protein 1"	Lrit1
MOUSE	1913430	Q8K2B0	Synaptonemal complex protein SC65	Leprel4
MOUSE	2180196	Q8K4Z0	Leucine-rich repeat LGI family member 2	Lgi2
MOUSE	1923727	Q8R4W6	Procollagen C-endopeptidase enhancer 2	Pcolce2
MOUSE	107973	P70389	Insulin-like growth factor-binding protein complex acid labile subunit	Igfals
MOUSE	1858212	Q9JLI2	Collagen type V alpha 3 chain	Col5a3
MOUSE	1921604	Q9D5S7	Leucine-rich repeat and guanylate kinase domain-containing protein	Lrguk
MOUSE	1315208	Q8CG70	Prolyl 3-hydroxylase 3	Leprel2
MOUSE	1916950	E9Q7P1	Protein Col22a1	Col22a1
MOUSE	96613	A2A863	Integrin beta-4	Itgb4
MOUSE	1889576	A2AL36	Centriolin	Cntrl
MOUSE	2148811	Q91V88	Nephronectin	Npnt
MOUSE	2180197	Q8K1S1	Leucine-rich repeat LGI family member 4	Lgi4
MOUSE	96783	P30730	Lutropin-choriogonadotropic hormone receptor	Lhcgr
MOUSE	2443132	Q8BUJ9	Low-density lipoprotein receptor-related protein 12	Lrp12
MOUSE	3584243	Q5SW45	Meckel syndrome type 1 protein homolog	Mks1
MOUSE	2685730	A2A9H6	Protein Gm884	Gm884
MOUSE	2685683	Q69ZU6	Thrombospondin type-1 domain-containing protein 7A	Thsd7a
MOUSE	2387634	Q8K0B3	Leucine-rich repeat-containing protein 66	Lrrc66
MOUSE	88453	P08121	Collagen alpha-1(III) chain	Col3a1
MOUSE	1921451	Q9CZ62	Centrosomal protein of 97 kDa	Cep97
MOUSE	95490	Q61555	Fibrillin-2	Fbn2
MOUSE	105088	O09118	Netrin-1	Ntn1
MOUSE	102776	P35585	AP-1 complex subunit mu-1	Ap1m1
MOUSE	2178742	Q8R4Y4	Stabilin-1	Stab1
MOUSE	1915520	Q9D2H9	"Dynein assembly factor 1, axonemal"	Dnaaf1
MOUSE	88467	P11087	Collagen alpha-1(I) chain	Col1a1
MOUSE	2685556	Q769J6	A disintegrin and metalloproteinase with thrombospondin motifs 13	Adamts13
MOUSE	88449	O35206	Collagen alpha-1(XV) chain	Col15a1
MOUSE	1333744	O35930	Platelet glycoprotein Ib alpha chain	Gp1ba
MOUSE	88457	O88207	Collagen alpha-1(V) chain	Col5a1
MOUSE	2151136	Q9JI18	Low-density lipoprotein receptor-related protein 1B	Lrp1b
MOUSE	2663233	Q80T03	Mucin-6	Muc6
MOUSE	1934028	Q8R4G0	Netrin-G1	Ntng1
MOUSE	1351471	Q9R1S0	B9 domain-containing protein 1	B9d1
MOUSE	3664583	Q0V8T8	Contactin-associated protein like 5-2	Cntnap5b
MOUSE	2684334	Q70UZ7	von Willebrand factor A domain-containing protein 2	Vwa2
MOUSE	2446294	P60882	Multiple epidermal growth factor-like domains protein 8	Megf8
MOUSE	99892	P19137	Laminin subunit alpha-1	Lama1
MOUSE	1194924	Q62192	CD180 antigen	Cd180
MOUSE	2442875	P59509	A disintegrin and metalloproteinase with thrombospondin motifs 19	Adamts19
MOUSE	96824	Q9QUK6	Toll-like receptor 4	Tlr4
MOUSE	104697	E9PWB6	Protein Muc5ac	Muc5ac
MOUSE	1349645	Q6GU68	Immunoglobulin superfamily containing leucine-rich repeat protein	Islr
MOUSE	2177651	Q9CZT5	Vasorin	Vasn
MOUSE	87961	A2ASQ1	Agrin	Agrn
