species	MGI	UniProtKB	gene	ID
MOUSE	97479	Q8R4K8	Pappalysin-1	Pappa
MOUSE	97998	P32958	Rod outer segment membrane protein 1	Rom1
MOUSE	94869	P70211	Netrin receptor DCC	Dcc
MOUSE	104965	Q60736	Zona pellucida sperm-binding protein 3 receptor	Zp3r
MOUSE	1306800	Q7TSK3	Protocadherin-8	Pcdh8
MOUSE	96963	P28825	Meprin A subunit alpha	Mep1a
MOUSE	1333827	O89012	MCG115467	Magea8
MOUSE	106671	O88338	Cadherin-16	Cdh16
MOUSE	1928481	Q9JL15	Galectin-8	Lgals8
MOUSE	1934765	Q99P91	Transmembrane glycoprotein NMB	Gpnmb
MOUSE	1333832	Q6T340	MAGEA3	Magea3
MOUSE	3618339	A1YIY0	Fc receptor-like protein 6	Fcrl6
MOUSE	3624119	Q5YIR8	"C-type lectin domain family 4, member a4"	Clec4a4
MOUSE	104698	P56563	Lens fiber membrane intrinsic protein	Lim2
MOUSE	1920904	O35457	C-C chemokine receptor-like 2	Ccrl2
MOUSE	1935197	Q91XW9	"MCG133388, isoform CRA_f"	Pcdhgb6
MOUSE	1333837	O89010	MCG114343	Magea6
MOUSE	3588211	A2AMW4	Protein Magea10	Magea10
MOUSE	1351648	Q9QZ04	MAGE-like protein 2	Magel2
MOUSE	1332240	Q9Z0Z4	Hephaestin	Heph
MOUSE	1922184	B2RY50	Armadillo repeat-containing protein 4	Armc4
MOUSE	88275	Q61301	Catenin alpha-2	Ctnna2
MOUSE	1352751	Q9JL89	Ninjurin-2	Ninj2
MOUSE	2136758	Q91XZ9	Protein Pcdhb20	Pcdhb20
MOUSE	2443376	Q8BIZ0	Protocadherin-20	Pcdh20
MOUSE	1096389	Q6P9K9	Neurexin-3	Nrxn3
MOUSE	88348	P40240	CD9 antigen	Cd9
MOUSE	2136750	Q91Y04	Protein Pcdhb15	Pcdhb15
MOUSE	2157522	Q810Y7	DPPA1	Dppa1
MOUSE	1916052	Q5DTJ9	Myopalladin	Mypn
MOUSE	2443847	Q6V4S5	Protein sidekick-2	Sdk2
MOUSE	105980	P12960	Contactin-1	Cntn1
MOUSE	1349163	Q64519	Syndecan-3	Sdc3
MOUSE	1343102	Q9Z2I4	Roundabout homolog 3	Robo3
MOUSE	98280	Q01102	P-selectin	Selp
MOUSE	1344366	E9Q9Q6	Protein Cdh18	Cdh18
MOUSE	1889800	Q9JIF9	Myotilin	Myot
MOUSE	103567	Q04683	C-X-C chemokine receptor type 5	Cxcr5
MOUSE	1921687	Q9D4D2	4933402E13Rik protein	4933402E13Rik
MOUSE	1202390	Q8BQC3	Immunoglobulin superfamily DCC subclass member 3	Igdcc3
MOUSE	3607706	Q6NXM3	Transmembrane protein 130	Tmem130
MOUSE	2180216	Q8R4I7	Neuropilin and tolloid-like protein 1	Neto1
MOUSE	96885	Q01965	T-lymphocyte surface antigen Ly-9	Ly9
MOUSE	2685969	Q1RME4	CAR-like soluble protein	Gm1123
MOUSE	103221	P55292	Desmocollin-2	Dsc2
MOUSE	1932475	Q91Y57	Sialic acid-binding Ig-like lectin 12	Siglec12
MOUSE	1925248	Q9D1U0	Grifin	Grifin
MOUSE	88058	Q01339	Beta-2-glycoprotein 1	Apoh
MOUSE	1333838	O89009	MCG115462	Magea5
MOUSE	2136742	Q91XZ2	MCG141292	Pcdhb8
MOUSE	2136737	Q91XZ7	Protein Pcdhb3	Pcdhb3
MOUSE	2384781	Q8VCF5	Tetraspanin-10	Tspan10
MOUSE	1926387	Q32MD9	Cell adhesion molecule-related/down-regulated by oncogenes	Cdon
MOUSE	1919012	Q8R3S2	Tetraspanin-33	Tspan33
MOUSE	2444336	E9Q0B5	Protein Fcgbp	Fcgbp
MOUSE	1201679	P97792	Coxsackievirus and adenovirus receptor homolog	Cxadr
MOUSE	3712084	A2A9Q9	Protein Gm14781	Gm14781
MOUSE	104745	Q7TSK2	Seizure protein 6	Sez6
MOUSE	88082	P24721	Asialoglycoprotein receptor 2	Asgr2
MOUSE	1202881	P70412	CUB and zona pellucida-like domain-containing protein 1	Cuzd1
MOUSE	2148149	Q6PCZ4	Melanoma-associated antigen E1	Magee1
MOUSE	1921430	E9Q5I3	Protein Muc5b	Muc5b
MOUSE	2159682	Q8VIM0	Hepatitis A virus cellular receptor 2 homolog	Havcr2
MOUSE	1928098	Q9QY33	Tetraspanin-3	Tspan3
MOUSE	1861231	Q9JKF4	C-type lectin domain family 6 member A	Clec6a
MOUSE	2685731	Q3TB92	Allergin-1	Milr1
MOUSE	102791	P15499	Peripherin-2	Prph2
MOUSE	2177151	Q8BIF0	CD99 antigen-like protein 2	Cd99l2
MOUSE	1922595	Q8BHK6	SLAM family member 7	Slamf7
MOUSE	103011	P47774	C-C chemokine receptor type 7	Ccr7
MOUSE	5142012	B8JJN0	Protein Gm20547	Gm20547
MOUSE	88330	Q61470	Leukocyte antigen CD37	Cd37
MOUSE	88274	P26231	Catenin alpha-1	Ctnna1
MOUSE	2159680	Q5QNS5	Hepatitis A virus cellular receptor 1 homolog	Havcr1
MOUSE	1858306	Q9R0M3	Sushi-repeat-containing protein SRPX	Srpx
MOUSE	1917186	Q80WR1	Tetraspanin-18	Tspan18
MOUSE	108110	P70663	SPARC-like protein 1	Sparcl1
MOUSE	1921529	Q9D9G4	1700080O16Rik protein	1700080O16Rik
MOUSE	96612	O54890	Integrin beta-3	Itgb3
MOUSE	1859649	O88327	Alpha-catulin	Ctnnal1
MOUSE	88081	P34927	Asialoglycoprotein receptor 1	Asgr1
MOUSE	104753	Q810U3	Neurofascin	Nfasc
MOUSE	94930	Q61495	Desmoglein-1-alpha	Dsg1a
MOUSE	2180021	Q8VBX4	C-type lectin domain family 4 member K	Cd207
MOUSE	2674311	Q8CG65	SCO-spondin	Sspo
MOUSE	2681107	Q920G3	Sialic acid-binding Ig-like lectin 5	Siglec5
MOUSE	1933391	Q9ER67	Maged2 protein	Maged2
MOUSE	1923481	Q3V1M1	Immunoglobulin superfamily member 10	Igsf10
MOUSE	1333839	F2Z493	Protein Magea4 (Fragment)	Magea4
MOUSE	3045344	Q8BQR7	MCG61680	Mageb18
MOUSE	1920399	Q8JZX6	"C-type lectin domain family 4, member a3"	Clec4a3
MOUSE	1338035	Q0VBD0	Integrin beta	Itgb8
MOUSE	1100492	O35375	Neuropilin-2	Nrp2
MOUSE	109575	O08523	Alpha-tectorin	Tecta
MOUSE	1931256	Q9JLB4	Cubilin	Cubn
MOUSE	96389	Q61711	Bone sialoprotein 2	Ibsp
MOUSE	3644545	J3QP22	Uncharacterized protein	Gm5334
MOUSE	1098282	P06683	Complement component C9	C9
MOUSE	1913579	Q9D176	Sushi domain-containing protein 3	Susd3
MOUSE	1203290	O88174	Membrane cofactor protein	Cd46
MOUSE	3051647	E9PZ87	Protein Pappa2	Pappa2
MOUSE	2136752	Q91Y03	MCG141291	Pcdhb16
MOUSE	1098266	P70232	Neural cell adhesion molecule L1-like protein	Chl1
MOUSE	2664357	Q7TSF1	Desmoglein-1-beta	Dsg1b
MOUSE	96778	P16110	Galectin-3	Lgals3
MOUSE	1889818	Q8BKT6	Tetraspanin-12	Tspan12
MOUSE	109496	O08573	Galectin-9	Lgals9
MOUSE	1929094	Q91VD1	Galectin-12	Lgals12
MOUSE	1097159	P97798	Neogenin	Neo1
MOUSE	2681842	Q7TNR6	Immunoglobulin superfamily member 21	Igsf21
MOUSE	1859834	P70194	C-type lectin domain family 4 member F	Clec4f
MOUSE	106923	Q62381	Tolloid-like protein 1	Tll1
MOUSE	1354756	Q9JLL0	Cysteine-rich motor neuron 1 protein	Crim1
MOUSE	1341843	Q9WTP5	Cadherin-22	Cdh22
MOUSE	104518	Q61330	Contactin-2	Cntn2
MOUSE	2443630	Q80ZE3	Protein Siglecg	Siglecg
MOUSE	1923727	Q8R4W6	Procollagen C-endopeptidase enhancer 2	Pcolce2
MOUSE	2148568	A2A9R3	Expressed sequence CN716893	Mageb4
MOUSE	1349412	Q9QZ15	C-type lectin domain family 4 member A	Clec4a
MOUSE	96613	A2A863	Integrin beta-4	Itgb4
MOUSE	1194993	P55850	Desmocollin-3	Dsc3
MOUSE	2136748	Q91Y06	Protein Pcdhb13	Pcdhb13
MOUSE	1330858	O88951	Protein lin-7 homolog B	Lin7b
MOUSE	1921998	Q9D3G2	SLAM family member 8	Slamf8
MOUSE	98278	Q00690	E-selectin	Sele
MOUSE	1921394	Q8C310	Roundabout homolog 4	Robo4
MOUSE	1096360	O35566	CD151 antigen	Cd151
MOUSE	894806	Q6PDN3	"Myosin light chain kinase, smooth muscle"	Mylk
MOUSE	95490	Q61555	Fibrillin-2	Fbn2
MOUSE	2664358	Q7TSF0	Desmoglein-1-gamma	Dsg1c
MOUSE	105975	P04186	Complement factor B	Cfb
MOUSE	1351314	Q9QUM4	Signaling lymphocytic activation molecule	Slamf1
MOUSE	893592	Q62151	Advanced glycosylation end product-specific receptor	Ager
MOUSE	2663233	Q80T03	Mucin-6	Muc6
MOUSE	2442647	Q3V3F6	Myelin protein zero-like protein 3	Mpzl3
MOUSE	1095737	Q69Z26	Contactin-4	Cntn4
MOUSE	107536	Q8K419	Galectin-4	Lgals4
MOUSE	1928994	Q6DIC6	Protein Tro	Tro
MOUSE	1926283	Q9ESN3	Transmembrane protein 8A	Tmem8a
MOUSE	1858223	Q9JMB8	Contactin-6	Cntn6
MOUSE	3664583	Q0V8T8	Contactin-associated protein like 5-2	Cntnap5b
MOUSE	107433	P70407	Cadherin-9	Cdh9
MOUSE	1928849	A2AVA0	"Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1"	Svep1
MOUSE	1926264	O70401	Tetraspanin-6	Tspan6
MOUSE	104618	P51675	C-C chemokine receptor type 1	Ccr1
MOUSE	2685484	Q80UL9	Junctional adhesion molecule-like	Amica1
MOUSE	2135609	Q8JZS0	Protein lin-7 homolog A	Lin7a
MOUSE	1891414	Q99NF3	Centrosomal protein of 41 kDa	Cep41
MOUSE	109503	Q5RJH3	Cadherin-12	Cdh12
MOUSE	104697	E9PWB6	Protein Muc5ac	Muc5ac
MOUSE	105117	A2AHM0	Protein Mageb2	Mageb2
MOUSE	2148169	Q14AN0	"Melanoma antigen, family B, 5"	Mageb5
MOUSE	2442792	Q8BM92	Cadherin-7	Cdh7
MOUSE	2442862	Q8R4Y0	Fc receptor-like protein 1	Fcrl1
MOUSE	2138647	Q920A9	Fc receptor-like A	Fcrla
MOUSE	99440	Q63994	Myeloid cell surface antigen CD33	Cd33
MOUSE	97551	P10820	Perforin-1	Prf1
MOUSE	2136749	Q6PB90	Protocadherin beta-14	Pcdhb14
MOUSE	2157947	Q91ZW8	CD209 antigen-like protein D	Cd209d
MOUSE	2687323	E9Q7P9	Protein Cdhr2	Cdhr2
MOUSE	95494	P20489	High affinity immunoglobulin epsilon receptor subunit alpha	Fcer1a
MOUSE	98373	P07214	SPARC	Sparc
MOUSE	99218	P39038	Cadherin-4	Cdh4
MOUSE	1298407	Q62283	Tetraspanin-7	Tspan7
MOUSE	95489	Q61554	Fibrillin-1	Fbn1
MOUSE	2449455	Q5ND28	Scavenger receptor class F member 1	Scarf1
MOUSE	2444661	Q8BGE4	Protein 4933426M11Rik	4933426M11Rik
MOUSE	1333793	Q9R2A2	Magea2 protein	Magea2
MOUSE	96721	P11627	Neural cell adhesion molecule L1	L1cam
MOUSE	3588199	E9PY62	Protein Cntnap3	Cntnap3
MOUSE	109603	P97468	Chemokine-like receptor 1	Cmklr1
MOUSE	2670904	Q8QZT4	Protein crumbs homolog 3	Crb3
MOUSE	1891703	Q9JKA5	Cell surface A33 antigen	Gpa33
MOUSE	2441872	Q8BL07	Probable G-protein coupled receptor 150	Gpr150
MOUSE	96614	O70309	Integrin beta-5	Itgb5
MOUSE	1921304	A2RSL7	Protein 4931406B18Rik	4931406B18Rik
MOUSE	109282	Q62407	Striated muscle-specific serine/threonine-protein kinase	Speg
MOUSE	98941	Q8CIZ8	von Willebrand factor	Vwf
MOUSE	1196281	Q9ERC8	Down syndrome cell adhesion molecule homolog	Dscam
