species	MGI	UniProtKB	gene	ID
MOUSE	1336161	Q9Z202	Natural killer cell protein group 2-A1	Klrc1
MOUSE	3032626	A2A7V7	CMRF35-like molecule 6	Cd300c
MOUSE	108449	P70205	Pituitary adenylate cyclase-activating polypeptide type I receptor	Adcyap1r1
MOUSE	1352753	Q0P543	Gastric inhibitory polypeptide receptor	Gipr
MOUSE	99836	P28666	Murinoglobulin-2	Mug2
MOUSE	1916392	D3Z1H5	"MCG132033, isoform CRA_a"	Cd209f
MOUSE	2449088	Q8R464	Cell adhesion molecule 4	Cadm4
MOUSE	88463	Q00780	Collagen alpha-1(VIII) chain	Col8a1
MOUSE	2180853	Q8VI97	"2',5'-oligoadenylate synthetase-like 6"	Oas1h
MOUSE	2445022	Q8C9S4	Uncharacterized protein C10orf118 homolog	Otg1
MOUSE	99460	Q61982	Neurogenic locus notch homolog protein 3	Notch3
MOUSE	1338754	P82020	Beta-defensin 2	Defb2
MOUSE	3590652	Q8BHN1	Gamma-taxilin	Txlng
MOUSE	109380	Q61190	Interleukin-10 receptor subunit beta	Il10rb
MOUSE	1916415	Q8CJ91	CD209 antigen-like protein B	Cd209b
MOUSE	2685354	E9PZ19	Protein Igsf9b	Igsf9b
MOUSE	103151	P55065	Phospholipid transfer protein	Pltp
MOUSE	88385	P06909	Complement factor H	Cfh
MOUSE	1346500	Q61249	Immunoglobulin-binding protein 1	Igbp1
MOUSE	1923692	Q9D780	SLAM family member 9	Slamf9
MOUSE	2151118	Q9JI20	Double-stranded RNA-specific editase B2	Adarb2
MOUSE	1298389	Q9Z2H6	C-type lectin domain family 4 member D	Clec4d
MOUSE	98936	P13372	Immunoglobulin iota chain	Vpreb1
MOUSE	88445	Q05306	Collagen alpha-1(X) chain	Col10a1
MOUSE	1919790	Q6P1G0	HEAT repeat-containing protein 6	Heatr6
MOUSE	104850	Q61475	"Complement decay-accelerating factor, GPI-anchored"	Cd55
MOUSE	88322	P35329	B-cell receptor CD22	Cd22
MOUSE	98553	P01849	T-cell receptor alpha chain C region	Tcra
MOUSE	3530275	B2KG20	Protein Klri1	Klri1
MOUSE	1355318	O70394	Interleukin-27 receptor subunit alpha	Il27ra
MOUSE	1889575	Q99MU3	Double-stranded RNA-specific adenosine deaminase	Adar
MOUSE	88460	Q02788	Collagen alpha-2(VI) chain	Col6a2
MOUSE	2180917	Q91V95	Parathyroid hormone 2 receptor	Pth2r
MOUSE	3647196	D3Z7A9	Protein Lilra5	Lilra5
MOUSE	101903	Q60652	Killer cell lectin-like receptor 5	Klra5
MOUSE	2385295	Q4V9Z5	Seizure 6-like protein 2	Sez6l2
MOUSE	1916433	Q9D8U4	Complement C1q tumor necrosis factor-related protein 2	C1qtnf2
MOUSE	95901	P04230	"H-2 class II histocompatibility antigen, E-B beta chain"	H2-Eb1
MOUSE	3646642	A7E1W8	Protein Siglec15	Siglec15
MOUSE	88333	P11942	T-cell surface glycoprotein CD3 gamma chain	Cd3g
MOUSE	88450	Q07563	Collagen alpha-1(XVII) chain	Col17a1
MOUSE	1916885	Q80YE7	Death-associated protein kinase 1	Dapk1
MOUSE	1349162	P18828	Syndecan-1	Sdc1
MOUSE	2445125	Q6U7R4	T-cell immunoglobulin and mucin domain-containing protein 4	Timd4
MOUSE	2677838	A2AJ76	Hemicentin-2	Hmcn2
MOUSE	95929	P01898	"H-2 class I histocompatibility antigen, Q10 alpha chain"	H2-Q10
MOUSE	104579	Q60837	Interleukin-12 receptor subunit beta-1	Il12rb1
MOUSE	98926	P29533	Vascular cell adhesion protein 1	Vcam1
MOUSE	1934582	Q9EQ16	C-X-C chemokine receptor type 6	Cxcr6
MOUSE	1916536	Q9DAG6	Protein Glipr1l1	Glipr1l1
MOUSE	97281	P13595	Neural cell adhesion molecule 1	Ncam1
MOUSE	3612791	Q673W2	KIR-like receptor 2 KIRL2.1	Kir3dl2
MOUSE	1195970	F8VQ94	Protein Pira2	Pira2
MOUSE	95917	A7VMS3	MHC classIb protein M5	H2-M5
MOUSE	2672972	Q7TNV7	Beta-defensin 38	Defb38
MOUSE	1914787	Q9CQ35	GLIPR1-like protein 2	Glipr1l2
MOUSE	106185	P51683	C-C chemokine receptor type 2	Ccr2
MOUSE	1923456	Q3V3A3	"MCG22200, isoform CRA_b"	Gpr165
MOUSE	1918395	Q8K299	Scavenger receptor class A member 5	Scara5
MOUSE	3577282	P01632	Ig kappa chain V-I region S107A	unassigned
MOUSE	107824	P51680	C-C chemokine receptor type 4	Ccr4
MOUSE	2652397	P83555	Killer cell immunoglobulin-like receptor 3DL1	Kir3dl1
MOUSE	98224	P31532	Serum amyloid A-4 protein	Saa4
MOUSE	1354171	O35228	Interleukin-27 subunit beta	Ebi3
MOUSE	98279	P18337	L-selectin	Sell
MOUSE	2442965	Q8VD98	Killer cell lectin-like receptor subfamily B member 1F	Klrb1f
MOUSE	109294	Q07763	Natural killer cell receptor 2B4	Cd244
MOUSE	2685455	E9Q573	Protein Gm609	Gm609
MOUSE	1859822	Q149L7	Cytotoxic and regulatory T-cell molecule	Crtam
MOUSE	109563	P70658	C-X-C chemokine receptor type 4	Cxcr4
