Ligand.ApprovedSymbol	ligand_mouse	Receptor.ApprovedSymbol	receptor_mouse
CALM2	Calm1	MYLK	Mylk
CALM2	Calm1	MYLK2	Mylk2
CALM2	Calm1	PDE1A	Pde1a
CALM2	Calm1	PDE1B	Pde1b
CALM2	Calm1	PDE1C	Pde1c
CALM2	Calm1	PPAPDC2	Ppapdc2
CALM2	Calm1	SCN10A	Scn10a
CALM2	Calm1	SCN4A	Scn4a
CALM2	Calm1	SELL	Sell
CALM2	Calm1	TRPC5	Trpc5
CALM3	Calm3	ABCA1	Abca1
CALM3	Calm4	ADCY8	Adcy8
CALM3	Calm5	AQP6	Aqp6
CALM3	Calm6	EGFR	Egfr
CALM3	Calm7	GP6	Gp6
CALM3	Calm8	GRM5	Grm5
CALM3	Calm9	GRM7	Grm7
CALM3	Calm10	INSR	Insr
CALM3	Calm11	KCNQ1	Kcnq1
CALM3	Calm12	KCNQ3	Kcnq3
CALM3	Calm13	KCNQ5	Kcnq5
CALM3	Calm14	MYLK	Mylk
CALM3	Calm15	MYLK2	Mylk2
CALM3	Calm16	PDE1A	Pde1a
CALM3	Calm17	PDE1B	Pde1b
CALM3	Calm18	PDE1C	Pde1c
CALM3	Calm19	PPAPDC2	Ppapdc2
CALM3	Calm20	SCN10A	Scn10a
CALM3	Calm21	SCN4A	Scn4a
CALM3	Calm22	SELL	Sell
CALM3	Calm23	TRPC5	Trpc5
CALR	Calr	HLA-F	H2-T24
CALR	Calr	ITGA2B	Itga2b
CALR	Calr	ITGA3	Itga3
CALR	Calr	ITGAV	Itgav
CALR	Calr	LRP1	Lrp1
CALR	Calr	MTNR1A	Mtnr1a
CALR	Calr	SCARF1	Scarf1
CALR	Calr	TSHR	Tshr
CAMP	Camp	EGFR	Egfr
CAMP	Camp	FPR2	Fpr3
CAMP	Camp	IGF1R	Igf1r
CAMP	Camp	P2RX7	P2rx7
CCK	Cck	CCKAR	Cckar
CCK	Cck	CCKBR	Cckbr
CCL11	Ccl11	ACKR2	Ackr2
CCL11	Ccl11	ACKR4	Ackr4
CCL11	Ccl11	CCR2	Ccr5
CCL11	Ccl11	CCR3	Ccr3
CCL11	Ccl11	CCR5	NA
CCL11	Ccl11	CXCR3	Cxcr3
CCL13	Ccl2	ACKR2	Ackr2
CCL13	Ccl2	ACKR4	Ackr4
CCL13	Ccl2	CCR1	Ccr1l1
CCL13	Ccl2	CCR2	Ccr5
CCL13	Ccl2	CCR3	Ccr3
CCL13	Ccl2	CCR5	NA
CCL13	Ccl2	CCR9	Ccr9
CCL13	Ccl2	CXCR3	Cxcr3
CCL14	Ccl2	ACKR2	Ackr2
CCL14	Ccl2	CCR1	Ccr1l1
CCL14	Ccl2	CCR3	Ccr3
CCL14	Ccl2	CCR5	NA
CCL15	Ccl9	CCR1	Ccr1l1
CCL15	Ccl9	CCR3	Ccr3
CCL16	NA	CCR1	Ccr1l1
CCL16	NA	CCR2	Ccr5
CCL16	NA	CCR5	NA
CCL16	NA	CCR8	Ccr8
CCL16	NA	HRH4	Hrh4
CCL17	Ccl17	CCR4	Ccr4
CCL17	Ccl17	CCR8	Ccr8
CCL17	Ccl17	DARC	NA
CCL18	Ccl3	C14orf1	0610007P14Rik
CCL19	Ccl19	ACKR2	Ackr2
CCL19	Ccl19	ACKR4	Ackr4
CCL19	Ccl19	CCR10	Ccr10
CCL19	Ccl19	CCR7	Ccr7
CCL19	Ccl19	CCRL2	Ccrl2
CCL19	Ccl19	CXCR3	Cxcr3
CCL1	Ccl1	CCR8	Ccr8
CCL20	Ccl20	CCR6	Ccr6
CCL20	Ccl20	CXCR3	Cxcr3
CCL21	Ccl21c	ACKR2	Ackr2
CCL21	Ccl21c	ACKR4	Ackr4
CCL21	Ccl21c	CCR7	Ccr7
CCL21	Ccl21c	CXCR3	Cxcr3
CCL22	Ccl22	CCR4	Ccr4
CCL23	Ccl9	CCR1	Ccr1l1
CCL24	Ccl24	CCR2	Ccr5
CCL24	Ccl24	CCR3	Ccr3
CCL25	Ccl25	ACKR2	Ackr2
CCL25	Ccl25	ACKR4	Ackr4
CCL25	Ccl25	CCR10	Ccr10
CCL25	Ccl25	CCR9	Ccr9
CCL26	Ccl26	CCR1	Ccr1l1
CCL26	Ccl26	CCR2	Ccr5
CCL26	Ccl26	CCR3	Ccr3
CCL27	Ccl27b	ACKR2	Ackr2
CCL27	Ccl27b	CCR10	Ccr10
CCL28	Ccl28	ACKR2	Ackr2
