myAUC	avg_diff	power	pct.1	pct.2	gene	cluster
Prrg3	0.6	0.714950621662146	0.2	0.309	0.117	Prrg3	mTEC
Capn2	0.599	0.517975480215172	0.198	0.487	0.303	Capn2	mTEC
Nucb2	0.599	0.60427409819724	0.198	0.314	0.118	Nucb2	mTEC
Pgap2	0.599	0.53885219362465	0.198	0.45	0.27	Pgap2	mTEC
Sgpl1	0.597	0.554411449916253	0.194	0.61	0.487	Sgpl1	mTEC
Lrrc42	0.595	1.10214034156861	0.19	0.505	0.368	Lrrc42	mTEC
Gsta2	0.594	1.09327058520531	0.188	0.188	0.001	Gsta2	mTEC
Litaf	0.594	0.535238367229255	0.188	0.351	0.166	Litaf	mTEC
Tnc	0.594	1.26298483006227	0.188	0.442	0.292	Tnc	mTEC
B4galnt1	0.593	0.729322482137959	0.186	0.207	0.022	B4galnt1	mTEC
Bspry	0.593	0.679913172297386	0.186	0.223	0.037	Bspry	mTEC
Gstm2	0.593	1.25678920585823	0.186	0.309	0.141	Gstm2	mTEC
Hes1	0.593	0.860878864756308	0.186	0.576	0.458	Hes1	mTEC
Heyl	0.593	0.619473966047538	0.186	0.283	0.097	Heyl	mTEC
Cd40	0.592	0.965441448221079	0.184	0.207	0.024	Cd40	mTEC
Jag1	0.592	0.64777675739862	0.184	0.309	0.132	Jag1	mTEC
Tfap2c	0.592	0.763293865406764	0.184	0.194	0.011	Tfap2c	mTEC
Gadd45b	0.591	0.816694956179483	0.182	0.228	0.047	Gadd45b	mTEC
Gsn	0.591	0.747736880336234	0.182	0.28	0.104	Gsn	mTEC
Fxyd7	0.59	0.828577948280315	0.18	0.223	0.044	Fxyd7	mTEC
Kdm5b	0.59	0.500277159875537	0.18	0.542	0.4	Kdm5b	mTEC
Psme2	0.59	0.536869312743613	0.18	0.594	0.479	Psme2	mTEC
Rgs5	0.59	1.12937332256108	0.18	0.191	0.011	Rgs5	mTEC
Sbsn	0.59	0.810902170605296	0.18	0.228	0.048	Sbsn	mTEC
Agps	0.588	0.547517277524264	0.176	0.364	0.2	Agps	mTEC
Cnn2	0.588	0.574281904345688	0.176	0.372	0.21	Cnn2	mTEC
Sh2d4a	0.588	0.70016657705103	0.176	0.181	0.005	Sh2d4a	mTEC
Spib	0.588	1.11135832758971	0.176	0.181	0.005	Spib	mTEC
Ctsh	0.587	0.845343117893149	0.174	0.191	0.018	Ctsh	mTEC
Limk2	0.587	0.582773925893792	0.174	0.372	0.211	Limk2	mTEC
Lmna	0.587	0.734935145750551	0.174	0.215	0.041	Lmna	mTEC
Mgll	0.587	0.897712730746632	0.174	0.217	0.044	Mgll	mTEC
Ostf1	0.587	0.502897884662825	0.174	0.319	0.151	Ostf1	mTEC
Ovol1	0.587	0.712412691413444	0.174	0.23	0.06	Ovol1	mTEC
Psme1	0.587	0.710500345567473	0.174	0.262	0.093	Psme1	mTEC
Spink8	0.587	1.78899037945959	0.174	0.191	0.018	Spink8	mTEC
Btg2	0.586	0.553950085854306	0.172	0.558	0.393	Btg2	mTEC
Dnajb1	0.586	0.885580180771374	0.172	0.463	0.326	Dnajb1	mTEC
Ier5	0.586	0.529879835533329	0.172	0.304	0.139	Ier5	mTEC
Smad4	0.586	0.702999694500486	0.172	0.346	0.191	Smad4	mTEC
Tspan5	0.586	0.638754074938962	0.172	0.293	0.129	Tspan5	mTEC
Dsg2	0.585	0.668694182523586	0.17	0.503	0.369	Dsg2	mTEC
Cldn3	0.584	0.951023580653673	0.168	0.186	0.018	Cldn3	mTEC
Elf3	0.584	0.550451558534488	0.168	0.246	0.08	Elf3	mTEC
Smtnl2	0.584	0.616107867593811	0.168	0.272	0.11	Smtnl2	mTEC
Lrrk1	0.583	0.678645222321622	0.166	0.207	0.041	Lrrk1	mTEC
Adam28	0.582	0.819917276863649	0.164	0.186	0.023	Adam28	mTEC
Capg	0.582	0.571382726875447	0.164	0.325	0.172	Capg	mTEC
Lpo	0.582	1.24919141216587	0.164	0.168	0.005	Lpo	mTEC
Lcp1	0.58	0.664756277234742	0.16	0.202	0.043	Lcp1	mTEC
Mif4gd	0.58	0.527374758348828	0.16	0.264	0.107	Mif4gd	mTEC
Tdh	0.58	0.612641328073102	0.16	0.175	0.016	Tdh	mTEC
2610528A11Rik	0.579	1.26336216521445	0.158	0.162	0.005	2610528A11Rik	mTEC
Ces1d	0.579	0.901301775446911	0.158	0.165	0.008	Ces1d	mTEC
Gm684	0.579	0.643144957952756	0.158	0.22	0.063	Gm684	mTEC
Il1rn	0.579	0.854773955419869	0.158	0.16	0.001	Il1rn	mTEC
Dmkn	0.578	1.34930352500215	0.156	0.16	0.003	Dmkn	mTEC
Fxyd1	0.578	0.512753759561937	0.156	0.312	0.161	Fxyd1	mTEC
Icam1	0.578	0.648320501216719	0.156	0.49	0.373	Icam1	mTEC
Krt14	0.578	1.21249971579258	0.156	0.196	0.045	Krt14	mTEC
Rab25	0.578	0.837218922883441	0.156	0.173	0.018	Rab25	mTEC
Acot1	0.577	0.617623594587415	0.154	0.369	0.234	Acot1	mTEC
Cgn	0.577	0.538995345762203	0.154	0.288	0.137	Cgn	mTEC
Mthfs	0.577	0.755019201410191	0.154	0.264	0.119	Mthfs	mTEC
Sh3tc2	0.577	0.741880141233756	0.154	0.157	0.004	Sh3tc2	mTEC
Cmas	0.576	0.633939263404874	0.152	0.288	0.146	Cmas	mTEC
D17H6S56E-5	0.576	1.05037636477654	0.152	0.654	0.576	D17H6S56E-5	mTEC
Efna1	0.576	0.544285732400041	0.152	0.34	0.201	Efna1	mTEC
Ifitm3	0.576	0.686200674840133	0.152	0.914	0.93	Ifitm3	mTEC
Msc	0.576	0.701684375684614	0.152	0.223	0.072	Msc	mTEC
Tmem54	0.576	0.647494758104292	0.152	0.209	0.062	Tmem54	mTEC
Cgnl1	0.575	0.587530194844549	0.15	0.199	0.049	Cgnl1	mTEC
Kcnk1	0.575	0.51139918248141	0.15	0.262	0.116	Kcnk1	mTEC
Pcdh17	0.575	0.617059482001654	0.15	0.178	0.028	Pcdh17	mTEC
Sphk1	0.575	0.651209135866577	0.15	0.188	0.039	Sphk1	mTEC
Sprr2a3	0.575	1.84328021713875	0.15	0.154	0.004	Sprr2a3	mTEC
Ubd	0.575	2.39545811232063	0.15	0.154	0.005	Ubd	mTEC
Cmtm6	0.574	0.60485447999731	0.148	0.275	0.134	Cmtm6	mTEC
Arhgef26	0.573	0.543304853332511	0.146	0.212	0.067	Arhgef26	mTEC
Ppl	0.573	0.74334945121151	0.146	0.173	0.028	Ppl	mTEC
Slc16a11	0.573	0.646875520572517	0.146	0.16	0.015	Slc16a11	mTEC
Arg2	0.572	0.634992801618341	0.144	0.17	0.026	Arg2	mTEC
Ece1	0.572	0.729903863862476	0.144	0.259	0.124	Ece1	mTEC
1810011O10Rik	0.571	0.588555434611747	0.142	0.23	0.093	1810011O10Rik	mTEC
Il15ra	0.571	0.568678127416779	0.142	0.22	0.078	Il15ra	mTEC
Plet1	0.571	0.653332577762515	0.142	0.204	0.064	Plet1	mTEC
Rab3d	0.571	0.661566329693803	0.142	0.175	0.036	Rab3d	mTEC
Relb	0.571	0.51391665762026	0.142	0.275	0.139	Relb	mTEC
Tnip1	0.571	0.597740695783159	0.142	0.251	0.113	Tnip1	mTEC
Anxa4	0.57	0.518930276724551	0.14	0.238	0.101	Anxa4	mTEC
Fosb	0.57	0.529894706328672	0.14	0.38	0.25	Fosb	mTEC
Igfbp5	0.57	0.515869598246564	0.14	0.356	0.234	Igfbp5	mTEC
Srd5a1	0.57	0.549002304672943	0.14	0.304	0.178	Srd5a1	mTEC
Gstt3	0.568	0.565946278620662	0.136	0.215	0.08	Gstt3	mTEC
Ptger3	0.568	0.563552394329153	0.136	0.157	0.023	Ptger3	mTEC
Sec11c	0.568	0.859753770449582	0.136	0.267	0.14	Sec11c	mTEC
Socs3	0.568	0.703683470755408	0.136	0.351	0.227	Socs3	mTEC
Gnao1	0.567	0.597575303088311	0.134	0.262	0.139	Gnao1	mTEC
Slco5a1	0.567	0.685667944645573	0.134	0.181	0.047	Slco5a1	mTEC
Smad1	0.566	0.535433935796208	0.132	0.27	0.14	Smad1	mTEC
Birc3	0.565	0.618617763917778	0.13	0.178	0.049	Birc3	mTEC
Dapp1	0.565	0.534334153069991	0.13	0.181	0.052	Dapp1	mTEC
Ifi202b	0.565	0.740849178975864	0.13	0.147	0.017	Ifi202b	mTEC
Lox	0.565	0.703970938732074	0.13	0.139	0.009	Lox	mTEC
Ahnak	0.564	0.50870344080343	0.128	0.319	0.2	Ahnak	mTEC
Alox12e	0.564	0.989295751106501	0.128	0.144	0.016	Alox12e	mTEC
Dusp4	0.564	0.594693404733368	0.128	0.134	0.007	Dusp4	mTEC
Mthfsl	0.564	0.561600014359103	0.128	0.249	0.129	Mthfsl	mTEC
Ppap2a	0.564	0.713085963815634	0.128	0.183	0.057	Ppap2a	mTEC
Slc5a9	0.564	0.520020555634214	0.128	0.223	0.096	Slc5a9	mTEC
Swap70	0.564	0.556837641600201	0.128	0.257	0.133	Swap70	mTEC
8430408G22Rik	0.563	1.84701999683087	0.126	0.131	0.006	8430408G22Rik	mTEC
Ano1	0.563	0.838086952740824	0.126	0.136	0.011	Ano1	mTEC
Lypd3	0.563	0.600225530142131	0.126	0.131	0.006	Lypd3	mTEC
Sectm1a	0.563	0.583532378300077	0.126	0.134	0.009	Sectm1a	mTEC
Tcaf2	0.563	0.71347200956708	0.126	0.152	0.026	Tcaf2	mTEC
Bst2	0.562	0.646105524191553	0.124	0.165	0.042	Bst2	mTEC
Fgfbp1	0.562	0.843697446730891	0.124	0.147	0.023	Fgfbp1	mTEC
Fxyd5	0.562	0.58513326225001	0.124	0.16	0.036	Fxyd5	mTEC
Il2ra	0.562	1.04324429712197	0.124	0.152	0.03	Il2ra	mTEC
Tmprss4	0.562	0.505810404419221	0.124	0.128	0.005	Tmprss4	mTEC
Aqp3	0.56	0.669800731836396	0.12	0.191	0.074	Aqp3	mTEC
Defb42	0.56	0.651617862180899	0.12	0.123	0.003	Defb42	mTEC
Tgm1	0.56	0.528485190183797	0.12	0.126	0.006	Tgm1	mTEC
Cyr61	0.559	0.663441230395056	0.118	0.275	0.162	Cyr61	mTEC
Gstt2	0.559	0.533041454169213	0.118	0.162	0.045	Gstt2	mTEC
Pdlim4	0.559	0.667649831125473	0.118	0.147	0.029	Pdlim4	mTEC
Tnfaip3	0.559	0.511396503895918	0.118	0.152	0.034	Tnfaip3	mTEC
Cd82	0.558	0.581699924394878	0.116	0.207	0.093	Cd82	mTEC
Ces1b	0.558	0.62223217535379	0.116	0.136	0.02	Ces1b	mTEC
Hagh	0.558	0.559994751435269	0.116	0.225	0.112	Hagh	mTEC
Lifr	0.558	0.618804391409088	0.116	0.238	0.127	Lifr	mTEC
Pglyrp2	0.558	1.17537375699654	0.116	0.123	0.007	Pglyrp2	mTEC
Gusb	0.557	0.651910168039563	0.114	0.173	0.063	Gusb	mTEC
Pld1	0.557	0.55967874857096	0.114	0.147	0.032	Pld1	mTEC
Shtn1	0.557	0.543862905945603	0.114	0.17	0.058	Shtn1	mTEC
Ccser2	0.555	0.657436690429621	0.11	0.33	0.245	Ccser2	mTEC
Hhip	0.555	0.655644337863451	0.11	0.136	0.026	Hhip	mTEC
Ndrg1	0.555	0.605003305001376	0.11	0.162	0.053	Ndrg1	mTEC
Serpinb1a	0.555	0.920399577467599	0.11	0.126	0.016	Serpinb1a	mTEC
Fam107a	0.554	0.569726602320799	0.108	0.118	0.01	Fam107a	mTEC
Prom2	0.554	0.502544487363928	0.108	0.131	0.023	Prom2	mTEC
Selm	0.554	1.68081340969322	0.108	0.152	0.049	Selm	mTEC
Cd74	0.553	1.20521908102605	0.106	0.539	0.527	Cd74	mTEC
Krt15	0.553	0.909441175858886	0.106	0.126	0.021	Krt15	mTEC
Ncoa7	0.553	0.523465924865352	0.106	0.317	0.231	Ncoa7	mTEC
Bpifa1	0.552	3.30607252487814	0.104	0.115	0.011	Bpifa1	mTEC
Hs3st3b1	0.552	0.605594913519842	0.104	0.126	0.022	Hs3st3b1	mTEC
Tnfrsf11a	0.552	0.568167196851016	0.104	0.107	0.003	Tnfrsf11a	mTEC
Urah	0.552	0.592962953792933	0.104	0.115	0.011	Urah	mTEC
F3	0.551	0.598610090620769	0.102	0.186	0.086	F3	mTEC
Ankrd33b	0.55	0.539696419733036	0.1	0.134	0.035	Ankrd33b	mTEC
Icosl	0.55	0.939671749894913	0.1	0.113	0.013	Icosl	mTEC
Steap4	0.55	0.589237745293804	0.1	0.107	0.008	Steap4	mTEC
C1qtnf6	0.549	0.574713590677969	0.0980000000000001	0.118	0.022	C1qtnf6	mTEC
Cxcl16	0.549	0.526291189269293	0.0980000000000001	0.11	0.012	Cxcl16	mTEC
Psmb8	0.549	0.523752199170816	0.0980000000000001	0.139	0.042	Psmb8	mTEC
Tpm2	0.549	0.85549543331477	0.0980000000000001	0.152	0.057	Tpm2	mTEC
Hspa1a	0.548	0.888505772655657	0.0960000000000001	0.141	0.047	Hspa1a	mTEC
Meg3	0.548	0.626661128935018	0.0960000000000001	0.238	0.149	Meg3	mTEC
Ccl5	0.546	1.3568648808336	0.0920000000000001	0.102	0.01	Ccl5	mTEC
Cbr2	0.545	0.527193595015367	0.0900000000000001	0.264	0.181	Cbr2	mTEC
Gdpd1	0.545	0.556574108975793	0.0900000000000001	0.134	0.045	Gdpd1	mTEC
Neat1	0.545	0.533683069090978	0.0900000000000001	0.149	0.06	Neat1	mTEC
Pla2g4a	0.545	0.504542222625386	0.0900000000000001	0.144	0.055	Pla2g4a	mTEC
